Day,Month,Year,Value
07,February,2000,-1.21406
14,February,2000,-1.385067
21,February,2000,-1.651054
27,February,2000,-1.674809
05,March,2000,-1.942496
12,March,2000,-2.10247
20,March,2000,-2.176995
27,March,2000,-2.190716
03,April,2000,-1.567623
09,April,2000,-1.542794
16,April,2000,-1.865094
23,April,2000,-2.261764
01,May,2000,-1.88763
08,May,2000,-1.940884
15,May,2000,-1.807317
21,May,2000,-1.433607
28,May,2000,-1.257269
04,June,2000,-1.109829
12,June,2000,-1.007181
19,June,2000,-0.997564
26,June,2000,-1.102998
02,July,2000,-1.517347
09,July,2000,-1.688881
16,July,2000,-1.526699
24,July,2000,-1.169424
31,July,2000,-0.961731
07,August,2000,-1.551187
13,August,2000,-1.561738
20,August,2000,-1.741615
27,August,2000,-1.801489
04,September,2000,-1.838164
11,September,2000,-1.532302
18,September,2000,-1.089476
24,September,2000,-0.877535
01,October,2000,-0.707507
08,October,2000,-0.693145
16,October,2000,-0.839774
23,October,2000,-1.217141
30,October,2000,-1.267727
05,November,2000,-0.992558
12,November,2000,-0.956023
19,November,2000,-1.032654
27,November,2000,-1.22456
04,December,2000,-1.30102
11,December,2000,-1.249762
17,December,2000,-1.193961
24,December,2000,-1.131495
01,January,2001,-1.55877
08,January,2001,-1.495708
15,January,2001,-1.281995
21,January,2001,-1.065222
28,January,2001,-1.147641
04,February,2001,-1.558568
12,February,2001,-1.629081
19,February,2001,-1.734874
26,February,2001,-1.659867
04,March,2001,-1.515254
11,March,2001,-1.521562
18,March,2001,-1.328872
26,March,2001,-1.054653
02,April,2001,-0.615144
09,April,2001,-0.84201
15,April,2001,-0.942218
22,April,2001,-1.054205
30,April,2001,-1.242261
07,May,2001,-0.950283
14,May,2001,-0.992025
20,May,2001,-0.973384
27,May,2001,-0.891143
03,June,2001,-0.683156
11,June,2001,-0.75471
18,June,2001,-0.702687
25,June,2001,-0.581062
01,July,2001,-0.979049
08,July,2001,-0.856081
15,July,2001,-0.619122
23,July,2001,-0.471313
30,July,2001,-0.590711
05,August,2001,-1.287705
12,August,2001,-1.330815
19,August,2001,-1.223008
27,August,2001,-0.967561
03,September,2001,-1.064131
10,September,2001,-0.899548
16,September,2001,-0.871888
23,September,2001,-0.879427
30,September,2001,-0.69538
08,October,2001,-1.066631
15,October,2001,-1.322206
22,October,2001,-1.223489
28,October,2001,-1.162137
04,November,2001,-0.886021
12,November,2001,-0.981762
19,November,2001,-1.300459
26,November,2001,-1.65991
02,December,2001,-1.620199
16,December,2001,-0.994468
24,December,2001,-0.772802
31,December,2001,-0.360252
07,January,2002,-0.163602
13,January,2002,0.305382
20,January,2002,0.263837
27,January,2002,-0.024972
04,February,2002,-0.653343
11,February,2002,-0.829477
17,February,2002,-0.631757
24,February,2002,-0.539747
03,March,2002,-0.410563
11,March,2002,-0.163293
18,March,2002,0.055634
25,March,2002,0.038434
31,March,2002,0.30349
07,April,2002,0.016146
14,April,2002,-0.332508
22,April,2002,-0.391578
29,April,2002,-0.448535
06,May,2002,-0.31339
12,May,2002,-0.84999
19,May,2002,-1.04945
27,May,2002,-1.240063
03,June,2002,-0.850997
10,June,2002,-0.730038
16,June,2002,-0.660204
23,June,2002,-0.819575
30,June,2002,-1.059004
08,July,2002,-1.081773
15,July,2002,-1.020256
22,July,2002,-1.017902
28,July,2002,-0.818375
04,August,2002,-1.109448
11,August,2002,-1.025488
19,August,2002,-0.754594
26,August,2002,-0.554579
02,September,2002,-0.634006
08,September,2002,-0.675077
15,September,2002,-0.458719
23,September,2002,-0.129182
30,September,2002,-0.194274
07,October,2002,0.002851
13,October,2002,-0.120968
20,October,2002,-0.203298
27,October,2002,-0.195218
04,November,2002,0.186072
11,November,2002,0.360555
18,November,2002,0.289961
24,November,2002,0.045226
01,December,2002,-0.102992
08,December,2002,0.014167
16,December,2002,0.40037
23,December,2002,0.650804
29,December,2002,0.406993
05,January,2003,-0.147929
12,January,2003,0.06875
20,January,2003,0.416816
27,January,2003,0.631262
03,February,2003,0.356794
09,February,2003,0.311941
16,February,2003,0.364767
23,February,2003,0.35011
03,March,2003,0.220662
10,March,2003,0.109522
17,March,2003,0.215794
23,March,2003,0.396023
30,March,2003,0.383835
07,April,2003,0.886609
14,April,2003,0.59713
21,April,2003,0.341915
27,April,2003,0.150617
04,May,2003,0.273417
11,May,2003,-0.418937
19,May,2003,-0.806272
26,May,2003,-0.853333
02,June,2003,-0.321566
08,June,2003,0.274864
15,June,2003,0.638542
22,June,2003,0.940499
30,June,2003,0.901015
07,July,2003,0.527614
13,July,2003,0.535891
20,July,2003,0.68903
27,July,2003,0.604076
04,August,2003,0.133499
11,August,2003,0.079227
18,August,2003,-0.166756
24,August,2003,-0.263877
31,August,2003,-0.513191
07,September,2003,-0.301675
15,September,2003,-0.130489
22,September,2003,-0.131552
29,September,2003,-0.1556
05,October,2003,-0.346733
12,October,2003,-0.651447
19,October,2003,-0.832659
27,October,2003,-0.79804
03,November,2003,-0.508862
09,November,2003,-0.480616
16,November,2003,-0.604982
01,December,2003,-0.951372
08,December,2003,-0.89689
15,December,2003,-0.746417
21,December,2003,-0.539198
28,December,2003,-0.326143
05,January,2004,-0.408948
11,January,2004,0.070002
18,January,2004,0.480292
25,January,2004,0.720901
02,February,2004,0.560304
09,February,2004,0.53401
16,February,2004,0.430632
22,February,2004,0.47422
29,February,2004,0.329324
07,March,2004,-0.001935
15,March,2004,-0.311011
22,March,2004,-0.441501
29,March,2004,-0.598443
04,April,2004,-0.110052
11,April,2004,0.003181
18,April,2004,-0.088303
26,April,2004,-0.261949
03,May,2004,-0.064587
10,May,2004,-0.742712
16,May,2004,-1.136516
23,May,2004,-1.447563
30,May,2004,-1.508281
07,June,2004,-1.183557
14,June,2004,-1.133072
21,June,2004,-0.911133
27,June,2004,-0.785993
04,July,2004,-1.076069
11,July,2004,-0.956015
19,July,2004,-0.717971
26,July,2004,-0.478876
02,August,2004,-0.90318
08,August,2004,-0.655252
15,August,2004,-0.397685
22,August,2004,-0.154575
30,August,2004,-0.11836
06,September,2004,-0.610588
13,September,2004,-0.588492
19,September,2004,-0.364613
26,September,2004,-0.434393
03,October,2004,-0.354674
11,October,2004,-0.442723
18,October,2004,-0.369477
25,October,2004,-0.331443
31,October,2004,-0.080206
07,November,2004,-0.307688
15,November,2004,-0.473055
22,November,2004,-0.359904
29,November,2004,-0.341386
05,December,2004,-0.122698
12,December,2004,-0.062302
19,December,2004,0.146518
27,December,2004,0.331728
03,January,2005,-0.079161
09,January,2005,-0.215911
16,January,2005,-0.299718
24,January,2005,-0.209371
31,January,2005,-0.03054
07,February,2005,-0.057727
13,February,2005,0.089991
20,February,2005,0.295301
27,February,2005,0.471445
07,March,2005,0.791187
14,March,2005,0.973478
21,March,2005,0.859858
27,March,2005,0.695176
03,April,2005,0.706523
10,April,2005,0.297517
18,April,2005,0.219521
25,April,2005,0.116256
01,May,2005,0.595132
08,May,2005,0.372061
15,May,2005,0.030428
23,May,2005,-0.239324
30,May,2005,-0.250521
06,June,2005,-0.075088
12,June,2005,-0.266654
19,June,2005,-0.45444
26,June,2005,-0.533968
04,July,2005,-0.48272
11,July,2005,-0.259611
18,July,2005,-0.249201
24,July,2005,-0.219069
31,July,2005,-0.386319
07,August,2005,-0.16086
15,August,2005,-0.020205
22,August,2005,0.16645
28,August,2005,0.004125
04,September,2005,-0.464812
11,September,2005,-0.839137
19,September,2005,-0.758734
03,October,2005,-0.386859
09,October,2005,-0.448382
16,October,2005,-0.787089
23,October,2005,-1.241172
31,October,2005,-1.537529
07,November,2005,-1.55277
14,November,2005,-1.571543
20,November,2005,-1.40898
27,November,2005,-1.239623
05,December,2005,-1.197823
12,December,2005,-1.334326
19,December,2005,-1.538077
25,December,2005,-1.434092
01,January,2006,-1.563608
08,January,2006,-1.198538
16,January,2006,-0.934381
23,January,2006,-0.743456
30,January,2006,-0.70983
05,February,2006,-0.842595
12,February,2006,-0.598023
19,February,2006,-0.374554
27,February,2006,-0.535969
06,March,2006,-0.397155
12,March,2006,-0.318062
19,March,2006,-0.567852
26,March,2006,-0.753653
03,April,2006,-0.417023
10,April,2006,-0.466846
17,April,2006,-0.693508
23,April,2006,-0.831288
30,April,2006,-0.312153
07,May,2006,-0.427724
15,May,2006,-0.582703
22,May,2006,-0.364672
29,May,2006,-0.245769
04,June,2006,0.136939
11,June,2006,0.293199
19,June,2006,0.505271
26,June,2006,0.488135
03,July,2006,0.107659
09,July,2006,0.17061
16,July,2006,0.14938
23,July,2006,0.076898
31,July,2006,0.13871
07,August,2006,-0.076665
14,August,2006,0.379196
20,August,2006,0.651396
27,August,2006,0.975283
03,September,2006,0.836121
11,September,2006,0.60436
18,September,2006,0.564381
24,September,2006,0.555515
01,October,2006,0.683747
08,October,2006,0.821316
16,October,2006,1.044408
23,October,2006,1.356993
30,October,2006,1.328493
19,November,2006,2.136066
27,November,2006,2.151041
04,December,2006,2.215066
11,December,2006,2.23365
17,December,2006,2.214932
24,December,2006,2.215661
01,January,2007,1.645262
08,January,2007,1.343453
15,January,2007,1.388657
21,January,2007,1.505501
28,January,2007,1.502656
04,February,2007,1.226167
12,February,2007,1.277581
19,February,2007,1.164777
26,February,2007,1.101974
04,March,2007,1.124768
11,March,2007,1.01811
18,March,2007,1.140646
26,March,2007,1.044146
02,April,2007,1.126724
09,April,2007,0.706715
15,April,2007,0.223306
22,April,2007,-0.120009
30,April,2007,-0.287341
07,May,2007,0.03902
14,May,2007,-0.007235
20,May,2007,0.042271
27,May,2007,0.253469
03,June,2007,0.90032
11,June,2007,1.158437
18,June,2007,1.103319
25,June,2007,0.87444
01,July,2007,0.468086
08,July,2007,0.396106
15,July,2007,0.529603
23,July,2007,0.513001
30,July,2007,0.185383
05,August,2007,-0.331947
12,August,2007,-0.114891
19,August,2007,0.157316
27,August,2007,0.387341
03,September,2007,0.342113
10,September,2007,0.486307
16,September,2007,0.445714
23,September,2007,0.482013
30,September,2007,0.935447
08,October,2007,0.830194
15,October,2007,0.7154
22,October,2007,0.445513
28,October,2007,0.095958
04,November,2007,0.079482
12,November,2007,-0.21053
