Decimal Year,Value
2001.8821918,-1.300459
2001.9013699,-1.65991
2001.9205479,-1.620199
2001.9589041,-0.994468
2001.9780822,-0.772802
2001.9972603,-0.360252
2002.0164384,-0.163602
2002.0356164,0.305382
2002.0547945,0.263837
2002.0739726,-0.024972
2002.0931507,-0.653343
2002.1123288,-0.829477
2002.1315068,-0.631757
2002.1506849,-0.539747
2002.169863,-0.410563
2002.1890411,-0.163293
2002.2082192,0.055634
2002.2273973,0.038434
2002.2465753,0.30349
2002.2657534,0.016146
2002.2849315,-0.332508
2002.3041096,-0.391578
2002.3232877,-0.448535
2002.3424658,-0.31339
2002.3616438,-0.84999
2002.3808219,-1.04945
2002.4,-1.240063
2002.4191781,-0.850997
2002.4383562,-0.730038
2002.4575342,-0.660204
2002.4767123,-0.819575
2002.4958904,-1.059004
2002.5150685,-1.081773
2002.5342466,-1.020256
2002.5534247,-1.017902
2002.5726027,-0.818375
2002.5917808,-1.109448
2002.6109589,-1.025488
2002.630137,-0.754594
2002.6493151,-0.554579
2002.6684932,-0.634006
2002.6876712,-0.675077
2002.7068493,-0.458719
2002.7260274,-0.129182
2002.7452055,-0.194274
2002.7643836,0.002851
2002.7835616,-0.120968
2002.8027397,-0.203298
2002.8219178,-0.195218
2002.8410959,0.186072
2002.860274,0.360555
2002.8794521,0.289961
2002.8986301,0.045226
2002.9178082,-0.102992
2002.9369863,0.014167
2002.9561644,0.40037
2002.9753425,0.650804
2002.9945205,0.406993
2003.0136986,-0.147929
2003.0328767,0.06875
2003.0520548,0.416816
2003.0712329,0.631262
2003.090411,0.356794
2003.109589,0.311941
2003.1287671,0.364767
2003.1479452,0.35011
2003.1671233,0.220662
2003.1863014,0.109522
2003.2054795,0.215794
2003.2246575,0.396023
2003.2438356,0.383835
2003.2630137,0.886609
2003.2821918,0.59713
2003.3013699,0.341915
2003.3205479,0.150617
2003.339726,0.273417
2003.3589041,-0.418937
2003.3780822,-0.806272
2003.3972603,-0.853333
2003.4164384,-0.321566
2003.4356164,0.274864
2003.4547945,0.638542
2003.4739726,0.940499
2003.4931507,0.901015
2003.5123288,0.527614
2003.5315068,0.535891
2003.5506849,0.68903
2003.569863,0.604076
2003.5890411,0.133499
2003.6082192,0.079227
2003.6273973,-0.166756
2003.6465753,-0.263877
2003.6657534,-0.513191
2003.6849315,-0.301675
2003.7041096,-0.130489
2003.7232877,-0.131552
2003.7424658,-0.1556
2003.7616438,-0.346733
2003.7808219,-0.651447
2003.8,-0.832659
2003.8191781,-0.79804
2003.8383562,-0.508862
2003.8575342,-0.480616
2003.8767123,-0.604982
2003.9150685,-0.951372
2003.9342466,-0.89689
2003.9534247,-0.746417
2003.9726027,-0.539198
2003.9917808,-0.326143
2004.010929,-0.408948
2004.0300546,0.070002
2004.0491803,0.480292
2004.068306,0.720901
2004.0874317,0.560304
2004.1065574,0.53401
2004.1256831,0.430632
2004.1448087,0.47422
2004.1639344,0.329324
2004.1830601,-0.001935
2004.2021858,-0.311011
2004.2213115,-0.441501
2004.2404372,-0.598443
2004.2595628,-0.110052
2004.2786885,0.003181
2004.2978142,-0.088303
2004.3169399,-0.261949
2004.3360656,-0.064587
2004.3551913,-0.742712
2004.3743169,-1.136516
2004.3934426,-1.447563
2004.4125683,-1.508281
2004.431694,-1.183557
2004.4508197,-1.133072
2004.4699454,-0.911133
2004.489071,-0.785993
2004.5081967,-1.076069
2004.5273224,-0.956015
2004.5464481,-0.717971
2004.5655738,-0.478876
2004.5846995,-0.90318
2004.6038251,-0.655252
2004.6229508,-0.397685
2004.6420765,-0.154575
2004.6612022,-0.11836
2004.6803279,-0.610588
2004.6994536,-0.588492
2004.7185792,-0.364613
2004.7377049,-0.434393
2004.7568306,-0.354674
2004.7759563,-0.442723
2004.795082,-0.369477
2004.8142077,-0.331443
2004.8333333,-0.080206
2004.852459,-0.307688
2004.8715847,-0.473055
2004.8907104,-0.359904
2004.9098361,-0.341386
2004.9289617,-0.122698
2004.9480874,-0.062302
2004.9672131,0.146518
2004.9863388,0.331728
2005.0054795,-0.079161
2005.0246575,-0.215911
2005.0438356,-0.299718
2005.0630137,-0.209371
2005.0821918,-0.03054
2005.1013699,-0.057727
2005.1205479,0.089991
2005.139726,0.295301
2005.1589041,0.471445
2005.1780822,0.791187
2005.1972603,0.973478
2005.2164384,0.859858
2005.2356164,0.695176
2005.2547945,0.706523
2005.2739726,0.297517
2005.2931507,0.219521
2005.3123288,0.116256
2005.3315068,0.595132
2005.3506849,0.372061
2005.369863,0.030428
2005.3890411,-0.239324
2005.4082192,-0.250521
2005.4273973,-0.075088
2005.4465753,-0.266654
2005.4657534,-0.45444
2005.4849315,-0.533968
2005.5041096,-0.48272
2005.5232877,-0.259611
2005.5424658,-0.249201
2005.5616438,-0.219069
2005.5808219,-0.386319
2005.6,-0.16086
2005.6191781,-0.020205
2005.6383562,0.16645
2005.6575342,0.004125
2005.6767123,-0.464812
2005.6958904,-0.839137
2005.7150685,-0.758734
2005.7534247,-0.386859
2005.7726027,-0.448382
2005.7917808,-0.787089
2005.8109589,-1.241172
2005.830137,-1.537529
2005.8493151,-1.55277
2005.8684932,-1.571543
2005.8876712,-1.40898
2005.9068493,-1.239623
2005.9260274,-1.197823
2005.9452055,-1.334326
2005.9643836,-1.538077
2005.9835616,-1.434092
2006.0027397,-1.563608
2006.0219178,-1.198538
2006.0410959,-0.934381
2006.060274,-0.743456
2006.0794521,-0.70983
2006.0986301,-0.842595
2006.1178082,-0.598023
2006.1369863,-0.374554
2006.1561644,-0.535969
2006.1753425,-0.397155
2006.1945205,-0.318062
2006.2136986,-0.567852
2006.2328767,-0.753653
2006.2520548,-0.417023
2006.2712329,-0.466846
2006.290411,-0.693508
2006.309589,-0.831288
2006.3287671,-0.312153
2006.3479452,-0.427724
2006.3671233,-0.582703
2006.3863014,-0.364672
2006.4054795,-0.245769
2006.4246575,0.136939
2006.4438356,0.293199
2006.4630137,0.505271
2006.4821918,0.488135
2006.5013699,0.107659
2006.5205479,0.17061
2006.539726,0.14938
2006.5589041,0.076898
2006.5780822,0.13871
2006.5972603,-0.076665
2006.6164384,0.379196
2006.6356164,0.651396
2006.6547945,0.975283
2006.6739726,0.836121
2006.6931507,0.60436
2006.7123288,0.564381
2006.7315068,0.555515
2006.7506849,0.683747
2006.769863,0.821316
2006.7890411,1.044408
2006.8082192,1.356993
2006.8273973,1.328493
2006.8849315,2.136066
2006.9041096,2.151041
2006.9232877,2.215066
2006.9424658,2.23365
2006.9616438,2.214932
2006.9808219,2.215661
2007.0,1.645262
2007.0191781,1.343453
2007.0383562,1.388657
2007.0575342,1.505501
2007.0767123,1.502656
2007.0958904,1.226167
2007.1150685,1.277581
2007.1342466,1.164777
2007.1534247,1.101974
2007.1726027,1.124768
2007.1917808,1.01811
2007.2109589,1.140646
2007.230137,1.044146
2007.2493151,1.126724
2007.2684932,0.706715
2007.2876712,0.223306
2007.3068493,-0.120009
2007.3260274,-0.287341
2007.3452055,0.03902
2007.3643836,-0.007235
2007.3835616,0.042271
2007.4027397,0.253469
2007.4219178,0.90032
2007.4410959,1.158437
2007.460274,1.103319
2007.4794521,0.87444
2007.4986301,0.468086
2007.5178082,0.396106
2007.5369863,0.529603
2007.5561644,0.513001
2007.5753425,0.185383
2007.5945205,-0.331947
2007.6136986,-0.114891
2007.6328767,0.157316
2007.6520548,0.387341
2007.6712329,0.342113
2007.690411,0.486307
2007.709589,0.445714
2007.7287671,0.482013
2007.7479452,0.935447
2007.7671233,0.830194
2007.7863014,0.7154
2007.8054795,0.445513
2007.8246575,0.095958
2007.8438356,0.079482
2007.8630137,-0.21053
2007.8821918,-0.340149
2007.9013699,-0.315557
2007.9205479,-0.240934
2007.939726,-0.054947
2007.9589041,-0.364537
2007.9780822,-0.734717
2007.9972603,-0.920652
2008.0163934,-1.11552
2008.0355191,-0.782115
2008.0546448,-0.50868
2008.0737705,-0.219304
2008.0928962,-0.852221
2008.1120219,-1.345395
2008.1311475,-1.327981
2008.1502732,-1.291798
2008.1693989,-1.230514
2008.1885246,-1.359665
2008.2076503,-1.4667
2008.226776,-1.912538
2008.2459016,-2.037418
2008.2650273,-1.700088
2008.284153,-1.774266
2008.3032787,-1.70244
2008.3224044,-1.986819
2008.3415301,-1.165269
2008.3606557,-0.682819
2008.3797814,-0.443951
2008.3989071,0.021866
2008.4180328,0.600612
2008.4371585,0.743847
2008.4562842,0.812978
2008.4754098,0.732229
2008.4945355,0.788573
2008.5136612,0.717236
2008.5327869,0.825928
2008.5519126,0.511586
2008.5710383,0.344978
2008.5901639,-0.41467
2008.6092896,-0.357471
2008.6284153,-0.043184
2008.647541,0.083993
2008.6666667,-0.244474
2008.6857923,-0.437141
2008.704918,-0.539209
2008.7240437,-0.357933
2008.7431694,-0.192389
2008.7622951,0.02411
2008.7814208,-0.055845
2008.8005464,-0.373264
2008.8196721,-0.631678
2008.8387978,-0.467639
2008.8579235,-0.517116
2008.8770492,-0.631572
2008.8961749,-0.975286
2008.9153005,-0.872649
2008.9344262,-0.940932
2008.9535519,-0.89466
2008.9726776,-0.62658
2008.9918033,-0.479922
2009.0109589,-0.764631
