Decimal Year,Value
1999.430137,-0.897753
1999.4493151,-0.832574
1999.4684932,-0.760649
1999.4876712,-0.676435
1999.5068493,-0.788863
1999.5260274,-0.796573
1999.5452055,-0.824054
1999.5643836,-0.780511
1999.5835616,-0.89152
1999.6027397,-0.858557
1999.6219178,-0.781743
1999.6410959,-0.758133
1999.660274,-0.793344
1999.6794521,-0.891597
1999.6986301,-0.91217
1999.7178082,-0.858097
1999.7369863,-0.803522
1999.7561644,-0.862083
1999.7753425,-0.882562
1999.7945205,-0.985279
1999.8136986,-1.109208
1999.8328767,-1.108033
1999.8520548,-1.141852
1999.8712329,-1.125636
1999.890411,-1.130354
1999.909589,-1.176491
1999.9287671,-1.174878
1999.9479452,-1.225245
1999.9671233,-1.312096
1999.9863014,-1.327564
2000.0054645,-1.283025
2000.0245902,-1.329768
2000.0437158,-1.331679
2000.0628415,-1.346703
2000.0819672,-1.310134
2000.1010929,-1.146502
2000.1202186,-1.188071
2000.1393443,-1.341855
2000.1584699,-1.429711
2000.1775956,-1.294722
2000.1967213,-1.319508
2000.215847,-1.325416
2000.2349727,-1.296792
2000.2540984,-1.125962
2000.273224,-1.107338
2000.2923497,-1.226584
2000.3114754,-1.161262
2000.3306011,-1.207804
2000.3497268,-1.138659
2000.3688525,-1.055914
2000.3879781,-0.952752
2000.4071038,-0.885227
2000.4262295,-0.986759
2000.4453552,-0.934851
2000.4644809,-0.814472
2000.4836066,-0.771049
2000.5027322,-0.97762
2000.5218579,-0.895986
2000.5409836,-0.757519
2000.5601093,-0.591288
2000.579235,-0.492071
2000.5983607,-0.641302
2000.6174863,-0.585788
2000.636612,-0.619086
2000.6557377,-0.641309
2000.6748634,-0.49657
2000.6939891,-0.431467
2000.7131148,-0.476201
2000.7322404,-0.539192
2000.7513661,-0.576199
2000.7704918,-0.643037
2000.7896175,-0.664316
2000.8087432,-0.641974
2000.8278689,-0.62498
2000.8469945,-0.633099
2000.8661202,-0.691618
2000.8852459,-0.737565
2000.9043716,-0.823775
2000.9234973,-0.85218
2000.942623,-0.85143
2000.9617486,-0.800565
2000.9808743,-0.771551
2001.0,-0.783379
2001.0191781,-0.797109
2001.0383562,-0.839187
2001.0575342,-0.869398
2001.0767123,-1.055082
2001.0958904,-1.090518
2001.1150685,-1.093352
2001.1342466,-1.084864
2001.1534247,-1.100123
2001.1726027,-0.795718
2001.1917808,-0.815132
2001.2109589,-0.802728
2001.230137,-0.806135
2001.2493151,-0.674931
2001.2684932,-0.689241
2001.2876712,-0.721026
2001.3068493,-0.77041
2001.3260274,-0.744136
2001.3452055,-0.706647
2001.3643836,-0.63733
2001.3835616,-0.468387
2001.4027397,-0.411063
2001.4219178,-0.565831
2001.4410959,-0.486857
2001.460274,-0.451
2001.4794521,-0.332262
2001.4986301,-0.44674
2001.5178082,-0.30912
2001.5369863,-0.178157
2001.5561644,-0.008542
2001.5753425,-0.067131
2001.5945205,-0.245817
2001.6136986,-0.260893
2001.6328767,-0.224464
2001.6520548,-0.146303
2001.6712329,-0.153181
2001.690411,-0.133827
2001.709589,-0.144071
2001.7287671,-0.200031
2001.7479452,-0.251228
2001.7671233,-0.265043
